Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO341,"150 HIGHETT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO341,HO341
HO263,"261 HIGHETT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO263,HO263
HO264,"263 HIGHETT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO264,HO264
HO265,"345 HIGHETT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO265,HO265
HO266,"117 HODDLE STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO266,HO266
HO267,171 HODDLE STREET RICHMOND Urbrae,-,-,-,-,Yes Ref No H719,Yes,H719,No,No,HO267,HO267
HO268,"3 HULL STREET RICHMOND Roeberry House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO268,HO268
HO269,"4 -6 HUNTER STREET RICHMOND Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO269,HO269
HO270,"72 KENT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO270,HO270
HO271,"86 KENT STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO271,HO271
HO272,"175 KENT STREET House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO272,HO272
HO273,36 LESNEY STREET RICHMOND Residence,-,-,-,-,Yes Ref No H711,Yes,H711,No,No,HO273,HO273
HO274,"131 LORD STREET RICHMOND Former Fire Station Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO274,HO274
HO275,"41 MADDEN GROVE RICHMOND Warehouse Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO275,HO275
HO276,"347 MARY STREET RICHMOND Richmond Terminal Station Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO276,HO276
HO278,"19 MURPHY STREET RICHMOND Kilmarnock Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO278,HO278
HO279,658 CHURCH STREET CREMORNE Former Richmond Power Station,-,-,-,-,Yes Ref No H1055,Yes,H1055,No,No,HO279,HO279
HO280,"419-421 PUNT ROAD RICHMOND Houses Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO280,HO280
HO281,"Yarra River PUNT ROAD RICHMOND Hoddle Bridge Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO281,HO281
HO282,"RIVER STREET (CNR MURPHY ST) RICHMOND Former J Kennon & Sons Wool Store Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO282,HO282
