,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Floor 2/205 Johnston St, Fitzroy VIC 3065, Australia",EjVGbG9vciAyLCAyMDUgSm9obnN0b24gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJOXjSMCBD1moRZCS6JwVN5O8SB0Zsb29yIDI,Floor 2 3/205 Johnston St Fitzroy  VIC  3065      ,-37.7985283,144.9822237,2,3065,OK,subpremise
0,ROOFTOP,"Floor 2/170 Oxford St, Collingwood VIC 3066, Australia",EjdGbG9vciAyLCAxNzAgT3hmb3JkIFN0LCBDb2xsaW5nd29vZCBWSUMgMzA2NiwgQXVzdHJhbGlhIiMaIQoWChQKEgmn-3A34ELWahGkRbzm5inT4hIHRmxvb3IgMg,Floor 2 4/170 Oxford St Collingwood  VIC  3066    ,-37.8024249,144.9853044,2,3066,OK,subpremise
0,ROOFTOP,"Floor 2/205 Johnston St, Fitzroy VIC 3065, Australia",EjVGbG9vciAyLCAyMDUgSm9obnN0b24gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJOXjSMCBD1moRZCS6JwVN5O8SB0Zsb29yIDI,Floor 2 4/205 Johnston St Fitzroy  VIC  3065      ,-37.7985283,144.9822237,2,3065,OK,subpremise
0,ROOFTOP,"Floor 2/205 Johnston St, Fitzroy VIC 3065, Australia",EjVGbG9vciAyLCAyMDUgSm9obnN0b24gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYSIjGiEKFgoUChIJOXjSMCBD1moRZCS6JwVN5O8SB0Zsb29yIDI,Floor 2 6/205 Johnston St Fitzroy  VIC  3065      ,-37.7985283,144.9822237,2,3065,OK,subpremise
0,ROOFTOP,"Unit 2/30 Wangaratta St, Richmond VIC 3121, Australia",ChIJpTnG6ZJC1moRSoh1RkcB_Fk,Floor 2 9/30 Wangaratta St Richmond  VIC  3121    ,-37.8237534,144.992275,1,3121,OK,"establishment,furniture_store,home_goods_store,point_of_interest,store"
0,ROOFTOP,"Floor 3/125 Oxford St, Collingwood VIC 3066, Australia",EjdGbG9vciAzLCAxMjUgT3hmb3JkIFN0LCBDb2xsaW5nd29vZCBWSUMgMzA2NiwgQXVzdHJhbGlhIiMaIQoWChQKEgnVBJ8_4ELWahFGkCHM3WHDuhIHRmxvb3IgMw,Floor 3 15/125 Oxford St Collingwood  VIC  3066   ,-37.8023688,144.9847196,2,3066,OK,subpremise
0,ROOFTOP,"Floor 3/2A Brougham St, Richmond VIC 3121, Australia",EjVGbG9vciAzLCAyQSBCcm91Z2hhbSBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJw1y7ifNC1moROvSKyRvpf4cSB0Zsb29yIDM,Floor 3 20/2A Brougham St Richmond  VIC  3121     ,-37.8216882,144.9995813,2,3121,OK,subpremise
0,ROOFTOP,"Floor 3/2A Brougham St, Richmond VIC 3121, Australia",EjVGbG9vciAzLCAyQSBCcm91Z2hhbSBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJw1y7ifNC1moROvSKyRvpf4cSB0Zsb29yIDM,Floor 3 23/2A Brougham St Richmond  VIC  3121     ,-37.8216882,144.9995813,2,3121,OK,subpremise
0,ROOFTOP,"Floor 3/103-107 Oxford St, Collingwood VIC 3066, Australia",EjtGbG9vciAzLCAxMDMtMTA3IE94Zm9yZCBTdCwgQ29sbGluZ3dvb2QgVklDIDMwNjYsIEF1c3RyYWxpYSIjGiEKFgoUChIJfbW_XeBC1moR3_MCx6DJt1sSB0Zsb29yIDM,Floor 3 301/103-107 Oxford St Collingwood  VIC  30,-37.803187,144.984682,1,3066,OK,subpremise
0,ROOFTOP,"Floor 3/108 Smith St, Collingwood VIC 3066, Australia",EjZGbG9vciAzLCAxMDggU21pdGggU3QsIENvbGxpbmd3b29kIFZJQyAzMDY2LCBBdXN0cmFsaWEiIxohChYKFAoSCUdpx6vgQtZqEeHfR1u8MmUJEgdGbG9vciAz,Floor 3 4/108 Smith St Collingwood  VIC  3066     ,-37.8052563,144.983347,2,3066,OK,subpremise
